"sink_loc","source_loc","block_name","source_func"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAdd/deviceAdd.js|141:42:141:108","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAdd/deviceAdd.js|138:42:138:47","entry node of functio ...       }","toBindDevice"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAddBlue/deviceAddBlue.js|301:54:301:120","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAddBlue/deviceAddBlue.js|297:53:299:45","guard: s is true","checkDevice"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAddBlue/deviceAddBlue.js|301:54:301:120","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAddBlue/deviceAddBlue.js|298:54:298:58","guard: s is true","checkDevice"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAddBlue/deviceAddBlue.js|327:46:327:112","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAddBlue/deviceAddBlue.js|323:45:325:37","guard: o.user. ... ser._id is false","checkDevice"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAddBlue/deviceAddBlue.js|327:46:327:112","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAddBlue/deviceAddBlue.js|324:46:324:50","guard: o.user. ... ser._id is false","checkDevice"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|272:34:272:136","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|270:33:270:68","entry node of functio ...       }","toListItem"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|272:34:272:136","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|270:33:270:46","entry node of functio ...       }","toListItem"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|272:34:272:136","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|270:33:270:41","entry node of functio ...       }","toListItem"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAddBlue/deviceAddBlue.js|334:46:334:106","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAddBlue/deviceAddBlue.js|330:45:332:37","{\n      ...       }","checkDevice"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAddBlue/deviceAddBlue.js|334:46:334:106","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAddBlue/deviceAddBlue.js|331:46:331:50","{\n      ...       }","checkDevice"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|280:34:280:92","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|276:33:278:25","entry node of functio ...       }","toExpressView"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|280:34:280:92","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|277:34:277:76","entry node of functio ...       }","toExpressView"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|280:34:280:92","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|277:34:277:69","entry node of functio ...       }","toExpressView"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|280:34:280:92","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|277:34:277:47","entry node of functio ...       }","toExpressView"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|280:34:280:92","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|277:34:277:42","entry node of functio ...       }","toExpressView"
